|año|com_aut|pib|pob|sui|nat|paro|ing|pobr|fum|alc|obes|fyv|crim|homi|sati
238|2012|Extremadura|17579526|1101.9|6.1|8.55|25.08|9176.0|||1.59|||26.7|1.18|
239|2012|Galicia|54021344|2764.6|10.02|7.63|17.26|10746.0|||0.87|||30.1|0.58|
240|2012|Madrid|196359670|6424.0|2.17|10.8|16.33|13695.0|||1.4|||61.3|0.75|
241|2012|Murcia|26950848|1461.2|8.76|11.42|24.99|8933.0|||0.37|||39.3|0.68|
242|2012|Navarra|17377685|639.3|7.97|10.53|12.99|15018.0|||2.56|||33.8|0.31|
243|2012|País Vasco|62342907|2180.7|7.45|9.42|12.35|14428.0|||2.42|||42.5|0.55|
244|2012|Rioja|7669045|320.1|7.24|9.96|17.21|11495.0|||0.77|||31.7|0.31|
245|2012|Ceuta|1438908|84.2|1.14|13.4|27.71|10882.0|||0.0|||83.8|0.0|
246|2012|Melilla|1325903|82.7|6.61|18.34|22.39|13274.0|||0.28|||56.1|4.84|
247|2013|Andalucía|137294091|8381.3|9.78|9.71|34.35|9361.0|||1.31|||44.6|0.78|58.7
248|2013|Aragón|32323922|1334.0|7.04|8.74|18.67|12540.0|||1.52|||32.0|0.52|71.0
249|2013|Asturias|20693890|1062.6|10.74|6.28|21.83|12134.0|||1.7|||28.3|0.75|68.4
250|2013|Balears|26227926|1105.8|8.3|9.46|23.17|11513.0|||2.82|||66.8|0.9|72.7
251|2013|Canarias|38066975|2096.2|8.97|7.52|32.58|8806.0|||0.86|||44.5|0.62|61.8
252|2013|Cantabria|11944124|588.4|6.14|8.21|17.8|10932.0|||0.68|||29.3|0.68|63.3
253|2013|Castilla Y León|51280425|2504.7|7.32|7.11|19.8|11230.0|||2.12|||||50.1
254|2013|Castilla - La Mancha|36910747|2083.1|7.53|9.15|28.58|9231.0|||0.44|||35.3|0.72|66.7
255|2013|Cataluña|193328965|7456.3|7.16|9.62|22.51|12862.0|||1.43|||57.9|0.58|67.1
256|2013|Comunitat Valenciana|95110090|4970.0|7.98|8.9|27.19|10451.0|||0.5|||52.4|0.64|69.5
257|2013|Extremadura|17606422|1098.5|6.63|8.09|33.08|8597.0|||1.56|||26.7|0.64|59.1
258|2013|Galicia|54038718|2752.1|10.97|7.17|20.53|10598.0|||1.34|||29.5|0.55|45.3
259|2013|Madrid|193344523|6388.7|1.46|10.22|18.53|13636.0|||1.39|||59.3|0.58|67.2
260|2013|Murcia|27046880|1461.9|7.62|11.02|27.61|9094.0|||1.6|||37.4|0.34|67.3
261|2013|Navarra|17346722|637.4|7.25|9.54|16.16|14781.0|||1.4|||37.5|0.63|75.8
262|2013|País Vasco|61496663|2174.8|7.68|8.81|15.6|14324.0|||1.72|||41.7|0.6|68.7
263|2013|Rioja|7581142|317.2|9.3|9.16|20.58|12003.0|||3.56|||30.1|0.0|66.8
264|2013|Ceuta|1454750|84.4|3.76|12.85|37.02|10852.0|||0.99|||69.3|2.37|65.3
265|2013|Melilla|1339497|83.8|11.11|18.04|26.92|12897.0|||0.13|||56.0|1.19|71.3
266|2014|Andalucía|139135225|8381.4|10.1|9.8|36.22|8897.0||||||42.0|0.82|
267|2014|Aragón|32602458|1327.6|6.99|8.73|21.39|12617.0||||||30.5|0.38|
268|2014|Asturias|20636251|1053.5|12.16|6.26|24.13|11645.0||||||27.0|0.66|
269|2014|Balears|27108615|1108.6|10.05|9.53|22.26|10928.0||||||62.0|1.08|
270|2014|Canarias|38312937|2097.3|8.97|7.74|33.73|8906.0||||||43.0|0.57|
271|2014|Cantabria|12158496|586.0|5.08|7.79|20.44|10395.0||||||29.3|0.51|
272|2014|Castilla Y León|51383670|2483.0|7.58|7.2|21.75|11123.0||||||||
273|2014|Castilla - La Mancha|36136765|2067.3|8.93|8.9|29.97|8759.0||||||34.0|0.77|
274|2014|Cataluña|196999531|7419.6|7.35|9.67|23.12|12759.0||||||57.0|0.77|
275|2014|Comunitat Valenciana|97256083|4951.7|7.89|8.96|28.05|9840.0||||||50.0|0.65|
276|2014|Extremadura|17564650|1094.2|6.42|8.38|33.87|8675.0||||||25.8|0.37|
277|2014|Galicia|54411393|2737.6|11.07|7.17|22.04|10464.0||||||28.6|0.73|
278|2014|Madrid|196018105|6369.1|5.19|10.27|19.76|13506.0||||||57.4|0.64|
279|2014|Murcia|27239109|1464.0|7.44|11.15|28.98|8876.0||||||36.0|0.55|
280|2014|Navarra|17642027|636.8|7.97|9.72|17.93|14356.0||||||41.7|0.16|
281|2014|País Vasco|62636949|2171.7|7.82|8.95|16.58|14932.0||||||40.6|0.46|
282|2014|Rioja|7738447|314.7|7.46|9.02|20.04|11514.0||||||28.4|0.95|
283|2014|Ceuta|1446625|84.5|4.54|14.2|34.84|10091.0||||||62.8|7.1|
284|2014|Melilla|1350573|84.4|1.25|19.33|32.52|12635.0||||||54.7|3.55|
285|2015|Andalucía|146406094|8386.1|9.7|9.6|34.78|8607.0|42.4|||||40.2|0.78|
286|2015|Aragón|33265930|1320.9|8.35|8.59|20.17|12663.0|19.4|||||29.1|0.68|
287|2015|Asturias|21388142|1043.5|12.29|6.18|21.13|11777.0|21.5|||||25.9|0.38|
288|2015|Balears|28653742|1113.5|8.71|9.38|20.0|11317.0|22.7|||||59.9|0.72|
289|2015|Canarias|39636569|2099.3|8.33|7.59|32.41|8578.0|41.5|||||42.7|0.95|
290|2015|Cantabria|12443843|583.4|6.36|7.5|19.42|10324.0|28.2|||||28.7|0.51|
291|2015|Castilla Y León|53183396|2462.2|8.76|7.06|20.77|10807.0|25.1|||||||
292|2015|Castilla - La Mancha|37998035|2054.1|9.05|8.87|29.0|8938.0|36.1|||||32.6|0.63|
293|2015|Cataluña|206434270|7424.0|7.11|9.53|20.33|12797.0|23.5|||||56.0|0.57|
294|2015|Comunitat Valenciana|101214206|4937.2|7.43|8.81|25.82|9556.0|32.6|||||47.5|0.97|
295|2015|Extremadura|18494971|1088.4|5.65|8.18|29.79|8101.0|38.2|||||25.0|0.09|
