año,com_aut,pib,pob,sui,nat,paro,ing,pobr,fum,alc,obes,fyv,crim,homi,sati,pib_pc,renta_pc,poblacion,gasto_elevado_vivienda(%),falta_espacio_vivienda(%),retrasos_pagos(%),renta_media,renta_mediana,riesgo_pobreza(%),dificultad_fin_mes(%),desigualdad_ing(S80/S20),inc_gastos_imprevistos(%),tasa_criminalidad,precio_medio_anual_eur_m2_venta,precio_medio_anual_eur_m2_alquiler
2013,Balears,26227926.0,1105.8,8.3,9.46,23.17,11513.0,,,2.82,,,66.8,0.9,72.7,23719.0,14496.0,887268.0,19.5,7.3,19.4,154270.0,135230.0,26.4,68.0,7.1,42.9,66.8,1986.5,7.58
2014,Balears,27108615.0,1108.6,10.05,9.53,22.26,10928.0,,,,,,62.0,1.08,,24454.0,14655.0,900330.0,21.8,10.4,21.3,157290.0,141150.0,26.5,60.9,8.9,37.9,62.0,1941.75,7.72
2015,Balears,28653742.0,1113.5,8.71,9.38,20.0,11317.0,22.7,,,,,59.9,0.72,,25732.0,15418.0,911961.0,20.5,6.4,21.7,158940.0,149540.0,28.6,57.2,9.1,40.2,59.9,1958.75,8.39
2016,Balears,30233284.0,1123.0,8.54,9.29,17.31,11412.0,26.4,,,,,60.7,0.8,,26922.0,16074.0,918324.0,11.5,10.5,12.6,178940.0,150070.0,20.8,53.3,6.1,32.7,60.7,2026.92,9.94
2017,Balears,31746251.0,1133.7,8.03,8.88,13.89,13068.0,19.9,,,,,63.6,0.35,,28001.0,16344.0,929066.0,16.8,11.7,15.4,183120.0,1400.0,26.1,51.8,8.2,36.8,63.6,2274.67,11.97
2018,Balears,33185968.0,1148.0,8.81,8.75,12.43,13664.0,24.0,,,,,64.2,0.7,89.7,28906.0,16857.0,936047.0,9.7,7.9,10.2,195540.0,170390.0,17.7,62.4,5.5,33.6,64.2,2678.17,12.42
2019,Balears,34350576.0,1166.1,6.1,8.08,11.52,14103.0,15.5,,,,,66.6,0.51,,29458.0,17529.0,944473.0,11.7,13.8,14.0,18420.0,167980.0,16.7,52.7,4.8,28.7,66.6,2989.08,12.4
2020,Balears,26669106.0,1179.5,8.06,7.78,11.74,13169.0,14.3,,,,,50.7,0.59,,22611.0,15616.0,951508.0,10.4,9.7,13.1,187870.0,183630.0,14.6,49.0,4.6,36.6,50.7,3069.42,12.23
2021,Balears,30512146.0,1182.3,7.03,7.81,16.14,13565.0,18.0,,,,,51.6,0.51,72.9,25807.0,16810.0,952711.0,17.8,6.5,20.3,168670.0,157650.0,19.4,42.7,5.1,30.9,51.6,3188.75,11.49
2022,Balears,37187160.0,1198.5,7.09,7.58,14.32,11771.0,22.1,,,,,63.4,0.25,72.9,31029.0,18339.0,954642.0,11.8,9.3,20.5,185760.0,168780.0,17.0,49.2,4.9,36.4,63.4,3465.42,12.86
2009,Canarias,39505370.0,2034.2,9.72,9.32,17.25,9416.0,,20.69,1.55,17.5,65.47,,,,19421.0,12528.0,1802788.0,9.6,9.6,20.8,136120.0,116730.0,29.2,77.5,6.3,60.1,,1686.58,7.91
