,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
165,Febrero 2012,2.512 €/m2,"- 0,8 %","- 2,2 %","- 4,3 %",Madrid
166,Enero 2012,2.533 €/m2,"- 0,5 %","- 1,8 %","- 3,7 %",Madrid
167,Diciembre 2011,2.546 €/m2,"- 0,9 %","- 1,5 %","- 3,1 %",Madrid
168,Noviembre 2011,2.569 €/m2,"- 0,4 %","- 1,2 %","- 2,4 %",Madrid
169,Octubre 2011,2.579 €/m2,"- 0,2 %","- 1,7 %","- 0,9 %",Madrid
170,Septiembre 2011,2.585 €/m2,"- 0,6 %","- 2,2 %","+ 0,3 %",Madrid
171,Agosto 2011,2.600 €/m2,"- 0,9 %","- 1,6 %","+ 1,0 %",Madrid
172,Julio 2011,2.624 €/m2,"- 0,7 %","- 0,6 %","+ 1,4 %",Madrid
173,Junio 2011,2.642 €/m2,"0,0 %","- 0,1 %","+ 2,1 %",Madrid
174,Mayo 2011,2.642 €/m2,"+ 0,1 %","+ 0,7 %","+ 1,9 %",Madrid
175,Abril 2011,2.640 €/m2,"- 0,2 %","+ 0,4 %","+ 2,0 %",Madrid
176,Marzo 2011,2.646 €/m2,"+ 0,8 %","+ 0,7 %","+ 2,6 %",Madrid
177,Febrero 2011,2.624 €/m2,"- 0,2 %","- 0,4 %","+ 2,5 %",Madrid
178,Enero 2011,2.630 €/m2,"+ 0,1 %","+ 1,0 %","+ 3,0 %",Madrid
179,Diciembre 2010,2.628 €/m2,"- 0,2 %","+ 1,9 %","+ 2,8 %",Madrid
180,Noviembre 2010,2.633 €/m2,"+ 1,2 %","+ 2,3 %","+ 2,3 %",Madrid
181,Octubre 2010,2.603 €/m2,"+ 0,9 %","+ 0,6 %","+ 1,3 %",Madrid
182,Septiembre 2010,2.578 €/m2,"+ 0,1 %","- 0,3 %","+ 0,5 %",Madrid
183,Agosto 2010,2.575 €/m2,"- 0,5 %","- 0,7 %","+ 0,3 %",Madrid
184,Julio 2010,2.588 €/m2,"0,0 %","0,0 %","- 0,3 %",Madrid
185,Junio 2010,2.587 €/m2,"- 0,2 %","+ 0,4 %","- 0,9 %",Madrid
186,Mayo 2010,2.594 €/m2,"+ 0,2 %","+ 1,3 %","- 1,1 %",Madrid
187,Abril 2010,2.590 €/m2,"+ 0,5 %","+ 1,4 %","- 2,0 %",Madrid
188,Marzo 2010,2.578 €/m2,"+ 0,7 %","+ 0,8 %","- 2,6 %",Madrid
189,Febrero 2010,2.561 €/m2,"+ 0,3 %","- 0,6 %","- 2,6 %",Madrid
190,Enero 2010,2.553 €/m2,"- 0,2 %","- 0,7 %","- 2,7 %",Madrid
191,Diciembre 2009,2.557 €/m2,"- 0,7 %","- 0,3 %","- 2,5 %",Madrid
192,Noviembre 2009,2.575 €/m2,"+ 0,2 %","+ 0,2 %","- 3,0 %",Madrid
193,Octubre 2009,2.569 €/m2,"+ 0,2 %","- 1,0 %","- 2,8 %",Madrid
194,Septiembre 2009,2.565 €/m2,"- 0,1 %","- 1,8 %","- 3,7 %",Madrid
195,Agosto 2009,2.569 €/m2,"- 1,0 %","- 2,1 %","- 3,8 %",Madrid
196,Julio 2009,2.596 €/m2,"- 0,6 %","- 1,8 %","- 3,9 %",Madrid
