,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
162,Mayo 2012,1.671 €/m2,"- 0,9 %","- 3,2 %","- 9,6 %",Asturias
163,Abril 2012,1.685 €/m2,"- 1,6 %","- 3,1 %","- 8,8 %",Asturias
164,Marzo 2012,1.712 €/m2,"- 0,8 %","- 5,8 %","- 7,2 %",Asturias
165,Febrero 2012,1.726 €/m2,"- 0,8 %","- 6,1 %","- 4,5 %",Asturias
166,Enero 2012,1.739 €/m2,"- 4,3 %","- 5,7 %","- 3,5 %",Asturias
167,Diciembre 2011,1.818 €/m2,"- 1,1 %","- 0,9 %","+ 0,5 %",Asturias
168,Noviembre 2011,1.839 €/m2,"- 0,3 %","+ 0,5 %","+ 1,9 %",Asturias
169,Octubre 2011,1.845 €/m2,"+ 0,6 %","+ 0,6 %","+ 3,8 %",Asturias
170,Septiembre 2011,1.834 €/m2,"+ 0,2 %","- 0,9 %","+ 3,8 %",Asturias
171,Agosto 2011,1.830 €/m2,"- 0,2 %","- 1,0 %","+ 3,3 %",Asturias
172,Julio 2011,1.834 €/m2,"- 0,9 %","- 0,8 %","+ 3,2 %",Asturias
173,Junio 2011,1.850 €/m2,"+ 0,1 %","+ 0,3 %","+ 3,5 %",Asturias
174,Mayo 2011,1.848 €/m2,"0,0 %","+ 2,2 %","+ 5,5 %",Asturias
175,Abril 2011,1.848 €/m2,"+ 0,3 %","+ 2,6 %","+ 6,7 %",Asturias
176,Marzo 2011,1.844 €/m2,"+ 2,0 %","+ 2,0 %","+ 6,5 %",Asturias
177,Febrero 2011,1.808 €/m2,"+ 0,3 %","+ 0,1 %","+ 3,4 %",Asturias
178,Enero 2011,1.802 €/m2,"- 0,4 %","+ 1,4 %","+ 3,5 %",Asturias
179,Diciembre 2010,1.809 €/m2,"+ 0,2 %","+ 2,4 %","+ 3,6 %",Asturias
180,Noviembre 2010,1.805 €/m2,"+ 1,5 %","+ 1,9 %","+ 2,5 %",Asturias
181,Octubre 2010,1.778 €/m2,"+ 0,7 %","+ 0,1 %","+ 2,2 %",Asturias
182,Septiembre 2010,1.766 €/m2,"- 0,3 %","- 1,2 %","+ 1,9 %",Asturias
183,Agosto 2010,1.771 €/m2,"- 0,3 %","+ 1,1 %","+ 2,0 %",Asturias
184,Julio 2010,1.776 €/m2,"- 0,6 %","+ 2,5 %","+ 1,7 %",Asturias
185,Junio 2010,1.787 €/m2,"+ 2,0 %","+ 3,2 %","+ 1,9 %",Asturias
186,Mayo 2010,1.751 €/m2,"+ 1,1 %","+ 0,2 %","- 1,0 %",Asturias
187,Abril 2010,1.733 €/m2,"0,0 %","- 0,5 %","- 1,6 %",Asturias
188,Marzo 2010,1.732 €/m2,"- 0,9 %","- 0,8 %","- 2,4 %",Asturias
189,Febrero 2010,1.748 €/m2,"+ 0,4 %","- 0,7 %","- 2,5 %",Asturias
190,Enero 2010,1.741 €/m2,"- 0,3 %","+ 0,1 %","- 3,8 %",Asturias
191,Diciembre 2009,1.746 €/m2,"- 0,8 %","+ 0,7 %","- 4,1 %",Asturias
192,Noviembre 2009,1.761 €/m2,"+ 1,2 %","+ 1,4 %","- 3,7 %",Asturias
193,Octubre 2009,1.739 €/m2,"+ 0,3 %","- 0,4 %","- 4,1 %",Asturias
194,Septiembre 2009,1.734 €/m2,"- 0,1 %","- 1,1 %","- 4,9 %",Asturias
195,Agosto 2009,1.736 €/m2,"- 0,6 %","- 1,9 %","- 3,6 %",Asturias
