Renta media y mediana;Comunidad autónoma;Periodo;Total
Renta mediana por unidad de consumo;06 Cantabria;2019;15.932
Renta mediana por unidad de consumo;06 Cantabria;2018;14.603
Renta mediana por unidad de consumo;06 Cantabria;2017;13.999
Renta mediana por unidad de consumo;06 Cantabria;2016;12.868
Renta mediana por unidad de consumo;06 Cantabria;2015;13.826
Renta mediana por unidad de consumo;06 Cantabria;2014;12.972
Renta mediana por unidad de consumo;06 Cantabria;2013;12.733
Renta mediana por unidad de consumo;06 Cantabria;2012;12.961
Renta mediana por unidad de consumo;06 Cantabria;2011;13.381
Renta mediana por unidad de consumo;06 Cantabria;2010;14.631
Renta mediana por unidad de consumo;06 Cantabria;2009;16.212
Renta mediana por unidad de consumo;06 Cantabria;2008;15.318
Renta mediana por unidad de consumo;07 Castilla y León;2024;19.405
Renta mediana por unidad de consumo;07 Castilla y León;2023;18.571
Renta mediana por unidad de consumo;07 Castilla y León;2022;17.337
Renta mediana por unidad de consumo;07 Castilla y León;2021;16.688
Renta mediana por unidad de consumo;07 Castilla y León;2020;16.640
